TABLE_NAME,COLUMN_NAME,DATA_TYPE,IS_NULLABLE,COLUMN_KEY,COLUMN_DEFAULT,EXTRA
data3,id,int,YES,,NULL,
data3,current_counter,text,YES,,NULL,
data3,inserted_on,datetime,YES,,NULL,
data3,previous_counter,text,YES,,NULL,
data3,reversal_status,text,YES,,NULL,
data3,status,text,YES,,NULL,
data3,account_no,text,YES,,NULL,
data3,amount,int,YES,,NULL,
data3,atm_id,text,YES,,NULL,
data3,auth38,text,YES,,NULL,
data3,check_status_date_time,text,YES,,NULL,
data3,check_status_date_time_rsp,text,YES,,NULL,
data3,ifsc_code,text,YES,,NULL,
data3,location,text,YES,,NULL,
data3,modified_on,text,YES,,NULL,
data3,originalacquirer_id,text,YES,,NULL,
data3,originalforwardinginstitutionid,text,YES,,NULL,
data3,originalmessagetype,text,YES,,NULL,
data3,originalstannumber,text,YES,,NULL,
data3,originaltransmissiondateandtime,text,YES,,NULL,
data3,pan,text,YES,,NULL,
data3,payee_vpa_addr,text,YES,,NULL,
data3,payer_vpa_addr,text,YES,,NULL,
data3,psp_amount,int,YES,,NULL,
data3,psp_date_time_rsp,text,YES,,NULL,
data3,psp_status,text,YES,,NULL,
data3,psp_tran_id,text,YES,,NULL,
data3,qr_date_time,text,YES,,NULL,
data3,qr_date_time_rsp,text,YES,,NULL,
data3,qr_status,text,YES,,NULL,
data3,ratings,text,YES,,NULL,
data3,response_code,text,YES,,NULL,
data3,reversalswitch_date_time,text,YES,,NULL,
data3,reversalswitch_date_time_rsp,text,YES,,NULL,
data3,rrn,bigint,YES,,NULL,
data3,stan,text,YES,,NULL,
data3,switch_date_time,text,YES,,NULL,
data3,switch_date_time_rsp,text,YES,,NULL,
data3,switch_status,text,YES,,NULL,
data3,switch_tran_id,text,YES,,NULL,
data3,transmission_date,text,YES,,NULL,
data3,transmission_time,text,YES,,NULL,
data3,decline_status,text,YES,,NULL,
data3,image_name,text,YES,,NULL,
data3,image_string,text,YES,,NULL,
data3,no_of_clicks,int,YES,,NULL,
data3,rejection,text,YES,,NULL,
data3,rejection_sequence,text,YES,,NULL,
data3,approval_number,text,YES,,NULL,
data3,txn_type,text,YES,,NULL,
data3,mqtt_id,text,YES,,NULL,
data3,mqtt_response_code,text,YES,,NULL,
data3,loro_file_txn_type,text,YES,,NULL,
data3,npci_trans_id,text,YES,,NULL,
data3,cust_ref_no,text,YES,,NULL,
data3,beneficiary_account,text,YES,,NULL,
data3,beneficiaryifsc,text,YES,,NULL,
data3,beneficiary_resp_code,text,YES,,NULL,
data3,beneficiaryvpa,text,YES,,NULL,
data3,payer_account,text,YES,,NULL,
data3,payerifsc,text,YES,,NULL,
data3,purpose_code,text,YES,,NULL,
data3,benificiary_name,text,YES,,NULL,
data3,qr_tid,text,YES,,NULL,
data3,payment_type,text,YES,,NULL,
data3,txn_identifier,text,YES,,NULL,
data3,payer_name,text,YES,,NULL,
data3,portal_status,text,YES,,NULL,
data3,transaction_status_code,text,YES,,NULL,
data3,transaction_status_message,text,YES,,NULL,
data3,image_saved,text,YES,,NULL,
data3,iso200request_time,text,YES,,NULL,
data3,iso200response_time,text,YES,,NULL,
data3,iso420request_time,text,YES,,NULL,
data3,iso420response_time,text,YES,,NULL,
data3,video_saved,text,YES,,NULL,
data3,ej_saved,text,YES,,NULL,
data3,txn_mode,text,YES,,NULL,
data3,bank,text,YES,,NULL,
data3,atm_id_bank,varchar,YES,,NULL,
